# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 25 18:51:06 2019
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
Kepler-1497 b,Transit,8.74199772,0.00008621,-0.00008621,0,,,,,,,,,,,,,0.148,0.026,-0.014,0,,,,,5675.00,159.75,-169.00,0,0.96,0.07,-0.06,0,0.95,0.16,-0.08,0,,,,,,,,
Kepler-1498 b,Transit,48.05140500,0.00093310,-0.00093310,0,,,,,,,,,,,,,0.119,0.010,-0.008,0,,,,,5256.00,60.36,-58.16,0,0.86,0.04,-0.04,0,0.81,0.05,-0.04,0,,,,,,,,
Kepler-1499 b,Transit,44.20080000,0.00065530,-0.00065530,0,,,,,,,,,,,,,0.106,0.022,-0.012,0,,,,,5097.00,77.02,-92.24,0,0.82,0.04,-0.04,0,0.78,0.04,-0.04,0,,,,,,,,
Kepler-15 b,Transit,4.94278200,0.00000130,-0.00000130,0,0.057140,0.000860,-0.000930,0,0.060000,,,0,0.66000,0.08000,-0.09000,0,0.960,0.060,-0.070,0,0.93000,0.18000,-0.22000,0,5515.00,122.00,-130.00,0,1.02,0.04,-0.05,0,0.99,0.06,-0.07,0,,,,,-0.087,0.078,-0.088,0
Kepler-150 b,Transit,3.42805400,0.00002600,-0.00002600,0,0.044000,,,0,,,,,,,,,0.112,0.017,-0.017,0,,,,,5560.00,100.00,-100.00,0,,,,,0.94,0.14,-0.14,0,,,,,,,,
Kepler-150 c,Transit,7.38199800,0.00001000,-0.00001000,0,0.073000,,,0,,,,,,,,,0.329,0.053,-0.053,0,,,,,5560.00,100.00,-100.00,0,,,,,0.94,0.14,-0.14,0,,,,,,,,
Kepler-150 d,Transit,12.56093000,0.00003600,-0.00003600,0,0.104000,,,0,,,,,,,,,0.249,0.037,-0.037,0,,,,,5560.00,100.00,-100.00,0,,,,,0.94,0.14,-0.14,0,,,,,,,,
Kepler-150 e,Transit,30.82655700,0.00019900,-0.00019900,0,0.189000,,,0,,,,,,,,,0.278,0.049,-0.049,0,,,,,5560.00,100.00,-100.00,0,,,,,0.94,0.14,-0.14,0,,,,,,,,
Kepler-150 f,Transit,637.20930000,0.01690000,-0.01540000,0,1.240000,0.290000,-0.450000,0,,,,,,,,,0.325,0.046,-0.035,0,,,,,5560.00,100.00,-100.00,0,,,,,0.94,0.14,-0.14,0,,,,,,,,
Kepler-1500 b,Transit,15.03301050,0.00016120,-0.00016120,0,,,,,,,,,,,,,0.107,0.020,-0.013,0,,,,,5845.00,122.09,-140.57,0,1.00,0.07,-0.07,0,1.00,0.18,-0.10,0,,,,,,,,
Kepler-1501 b,Transit,14.55645330,0.00011210,-0.00011210,0,,,,,,,,,,,,,0.139,0.061,-0.022,0,,,,,6229.00,111.62,-123.73,0,1.20,0.17,-0.09,0,1.30,0.54,-0.18,0,,,,,,,,
Kepler-1502 b,Transit,41.70836290,0.00034850,-0.00034850,0,,,,,,,,,,,,,0.284,0.100,-0.057,0,,,,,6666.00,321.18,-272.08,0,1.44,0.23,-0.17,0,1.72,0.61,-0.33,0,,,,,,,,
Kepler-1503 b,Transit,96.16987000,0.00118000,-0.00118000,0,,,,,,,,,,,,,0.203,0.017,-0.021,0,,,,,5069.00,95.03,-73.98,0,0.77,0.05,-0.07,0,0.74,0.05,-0.07,0,,,,,,,,
Kepler-1504 b,Transit,82.30400300,0.00159300,-0.00159300,0,,,,,,,,,,,,,0.190,0.021,-0.017,0,,,,,5393.00,102.27,-78.86,0,0.85,0.06,-0.06,0,0.81,0.08,-0.07,0,,,,,,,,
Kepler-1505 b,Transit,30.86093660,0.00022520,-0.00022520,0,,,,,,,,,,,,,0.083,0.004,-0.004,0,,,,,5686.00,65.36,-53.94,0,0.93,0.03,-0.04,0,0.86,0.02,-0.03,0,,,,,,,,
Kepler-1506 b,Transit,14.03291540,0.00028110,-0.00028110,0,,,,,,,,,,,,,0.118,0.017,-0.012,0,,,,,5676.00,104.55,-89.59,0,0.95,0.05,-0.06,0,0.93,0.12,-0.07,0,,,,,,,,
Kepler-1507 b,Transit,16.05062130,0.00014470,-0.00014470,0,,,,,,,,,,,,,0.075,0.008,-0.008,0,,,,,5410.00,63.43,-70.14,0,0.89,0.04,-0.05,0,0.85,0.09,-0.06,0,,,,,,,,
Kepler-1508 b,Transit,20.70565040,0.00054990,-0.00054990,0,,,,,,,,,,,,,0.119,0.047,-0.023,0,,,,,6158.00,294.77,-280.41,0,1.14,0.22,-0.12,0,1.22,0.48,-0.23,0,,,,,,,,
Kepler-1509 b,Transit,25.43381970,0.00031140,-0.00031140,0,,,,,,,,,,,,,0.165,0.033,-0.014,0,,,,,5780.00,69.62,-80.25,0,1.00,0.05,-0.05,0,0.99,0.16,-0.08,0,,,,,,,,
Kepler-151 b,Transit,15.22895800,0.00003000,-0.00003000,0,0.116000,,,0,,,,,,,,,0.273,0.136,-0.136,0,,,,,5460.00,200.00,-200.00,0,,,,,0.83,0.41,-0.41,0,,,,,,,,
Kepler-151 c,Transit,24.67461200,0.00010600,-0.00010600,0,0.160000,,,0,,,,,,,,,0.186,0.093,-0.093,0,,,,,5460.00,200.00,-200.00,0,,,,,0.83,0.41,-0.41,0,,,,,,,,
Kepler-1510 b,Transit,84.70392100,0.00189600,-0.00189600,0,,,,,,,,,,,,,0.300,0.110,-0.050,0,,,,,6200.00,177.72,-224.25,0,1.19,0.15,-0.12,0,1.28,0.46,-0.20,0,,,,,,,,
Kepler-1511 b,Transit,23.23827920,0.00022200,-0.00022200,0,,,,,,,,,,,,,0.150,0.062,-0.021,0,,,,,6064.00,72.72,-86.89,0,1.17,0.17,-0.07,0,1.29,0.53,-0.18,0,,,,,,,,
Kepler-1512 b,Transit,20.35972599,0.00005874,-0.00005874,0,,,,,,,,,,,,,0.105,0.006,-0.010,0,,,,,4372.00,59.14,-63.70,0,0.73,0.02,-0.10,0,0.67,0.02,-0.06,0,,,,,,,,
Kepler-1513 b,Transit,160.88465087,0.00007718,-0.00007718,0,,,,,,,,,,,,,0.755,0.123,-0.065,0,,,,,5617.00,176.78,-124.96,0,0.99,0.07,-0.05,0,0.97,0.16,-0.08,0,,,,,,,,
Kepler-1514 b,Transit,217.83176260,0.00010580,-0.00010580,0,,,,,,,,,,,,,1.055,0.054,-0.045,0,,,,,6251.00,81.98,-87.80,0,1.21,0.04,-0.04,0,1.22,0.06,-0.05,0,,,,,,,,
Kepler-1515 b,Transit,214.31141640,0.00012750,-0.00012750,0,,,,,,,,,,,,,0.852,0.069,-0.057,0,,,,,6511.00,94.24,-81.34,0,1.30,0.06,-0.05,0,1.41,0.11,-0.10,0,,,,,,,,
Kepler-1516 b,Transit,7.25931979,0.00003612,-0.00003612,0,,,,,,,,,,,,,0.156,0.044,-0.017,0,,,,,5904.00,92.11,-142.16,0,1.04,0.07,-0.06,0,1.07,0.23,-0.12,0,,,,,,,,
Kepler-1517 b,Transit,5.54608367,0.00000709,-0.00000709,0,,,,,,,,,,,,,0.871,0.249,-0.172,0,,,,,7010.00,117.01,-113.20,0,1.58,0.18,-0.15,0,1.95,0.53,-0.37,0,,,,,,,,
Kepler-1518 b,Transit,5.11177904,0.00005083,-0.00005083,0,,,,,,,,,,,,,0.272,0.082,-0.056,0,,,,,6846.00,320.29,-290.12,0,1.54,0.21,-0.18,0,1.88,0.61,-0.38,0,,,,,,,,
Kepler-1519 b,Transit,240.79893970,0.00061170,-0.00061170,0,,,,,,,,,,,,,0.630,0.072,-0.048,0,,,,,5644.00,138.77,-112.71,0,0.94,0.06,-0.06,0,0.91,0.10,-0.07,0,,,,,,,,
Kepler-152 b,Transit,18.20797300,0.00002300,-0.00002300,0,0.124000,,,0,,,,,,,,,0.249,0.015,-0.015,0,,,,,5088.00,100.00,-100.00,0,,,,,0.72,0.04,-0.04,0,,,,,,,,
Kepler-152 c,Transit,88.25505500,0.00030900,-0.00030900,0,0.356000,,,0,,,,,,,,,0.213,0.014,-0.014,0,,,,,5088.00,100.00,-100.00,0,,,,,0.72,0.04,-0.04,0,,,,,,,,
Kepler-1520 b,Transit,0.65355357,0.00000016,-0.00000016,0,,,,,,,,,,,,,0.515,0.020,-0.027,0,,,,,4677.00,82.29,-71.28,0,0.76,0.03,-0.04,0,0.71,0.03,-0.03,0,,,,,,,,
Kepler-1521 b,Transit,47.14840805,0.00007919,-0.00007919,0,,,,,,,,,,,,,0.223,0.008,-0.009,0,,,,,5042.00,73.64,-58.14,0,0.81,0.03,-0.04,0,0.76,0.02,-0.03,0,,,,,,,,
Kepler-1522 b,Transit,1.84788917,0.00000272,-0.00000272,0,,,,,,,,,,,,,0.154,0.021,-0.012,0,,,,,5706.00,131.97,-100.71,0,0.96,0.06,-0.06,0,0.93,0.12,-0.07,0,,,,,,,,
Kepler-1523 b,Transit,0.93875077,0.00000116,-0.00000116,0,,,,,,,,,,,,,0.141,0.024,-0.013,0,,,,,5708.00,150.00,-158.59,0,0.97,0.07,-0.06,0,0.96,0.16,-0.09,0,,,,,,,,
Kepler-1524 b,Transit,70.96746030,0.00017230,-0.00017230,0,,,,,,,,,,,,,0.316,0.131,-0.048,0,,,,,6179.00,148.99,-210.53,0,1.17,0.18,-0.10,0,1.25,0.52,-0.19,0,,,,,,,,
Kepler-1525 b,Transit,2.41660118,0.00000528,-0.00000528,0,,,,,,,,,,,,,0.081,0.005,-0.004,0,,,,,5748.00,70.33,-66.29,0,1.07,0.03,-0.03,0,1.04,0.06,-0.04,0,,,,,,,,
Kepler-1526 b,Transit,3.90863200,0.00000740,-0.00000740,0,,,,,,,,,,,,,0.217,0.008,-0.035,0,,,,,4601.00,88.57,-73.91,0,0.73,0.03,-0.04,0,0.69,0.03,-0.03,0,,,,,,,,
Kepler-1527 b,Transit,160.12991800,0.00174200,-0.00174200,0,,,,,,,,,,,,,0.426,0.174,-0.067,0,,,,,6224.00,111.75,-166.75,0,1.21,0.17,-0.10,0,1.32,0.52,-0.20,0,,,,,,,,
Kepler-1528 b,Transit,1.79111021,0.00000770,-0.00000770,0,,,,,,,,,,,,,0.130,0.022,-0.012,0,,,,,5857.00,88.96,-92.52,0,1.03,0.06,-0.06,0,1.03,0.17,-0.09,0,,,,,,,,
Kepler-1529 b,Transit,5.33905686,0.00001277,-0.00001277,0,,,,,,,,,,,,,0.187,0.013,-0.010,0,,,,,5048.00,65.08,-97.92,0,0.81,0.04,-0.04,0,0.77,0.03,-0.04,0,,,,,,,,
Kepler-153 b,Transit,18.87022700,0.00003900,-0.00003900,0,0.129000,,,0,,,,,,,,,0.261,0.157,-0.157,0,,,,,5404.00,200.00,-200.00,0,,,,,0.89,0.54,-0.54,0,,,,,,,,
Kepler-153 c,Transit,46.90232000,0.00021500,-0.00021500,0,0.237000,,,0,,,,,,,,,0.226,0.136,-0.136,0,,,,,5404.00,200.00,-200.00,0,,,,,0.89,0.54,-0.54,0,,,,,,,,
Kepler-1530 b,Transit,2.59044340,0.00017150,-0.00017150,0,,,,,,,,,,,,,0.146,0.019,-0.010,0,,,,,5477.00,62.89,-65.13,0,0.92,0.04,-0.04,0,0.88,0.09,-0.05,0,,,,,,,,
Kepler-1530 c,Transit,5.32274060,0.00063310,-0.00063310,0,,,,,,,,,,,,,0.147,0.021,-0.010,0,,,,,5477.00,62.89,-65.13,0,0.92,0.04,-0.04,0,0.88,0.09,-0.05,0,,,,,,,,
Kepler-1531 b,Transit,1.13854338,0.00000259,-0.00000259,0,,,,,,,,,,,,,0.099,0.043,-0.016,0,,,,,6260.00,161.61,-182.91,0,1.16,0.20,-0.12,0,1.27,0.55,-0.21,0,,,,,,,,
Kepler-1532 b,Transit,1.09366356,0.00000216,-0.00000216,0,,,,,,,,,,,,,0.120,0.016,-0.011,0,,,,,5559.00,129.54,-75.54,0,0.91,0.06,-0.06,0,0.88,0.11,-0.07,0,,,,,,,,
Kepler-1533 b,Transit,308.54710000,0.00241500,-0.00241500,0,,,,,,,,,,,,,0.309,0.133,-0.061,0,,,,,6431.00,243.97,-226.69,0,1.31,0.22,-0.15,0,1.51,0.65,-0.30,0,,,,,,,,
Kepler-1534 b,Transit,5.71668872,0.00002925,-0.00002925,0,,,,,,,,,,,,,0.169,0.020,-0.013,0,,,,,5442.00,130.03,-110.47,0,0.90,0.05,-0.05,0,0.86,0.09,-0.06,0,,,,,,,,
Kepler-1535 b,Transit,138.94420000,0.00121400,-0.00121400,0,,,,,,,,,,,,,0.227,0.022,-0.017,0,,,,,6021.00,94.56,-92.04,0,1.08,0.04,-0.04,0,1.11,0.10,-0.08,0,,,,,,,,
Kepler-1536 b,Transit,364.75803100,0.00582000,-0.00582000,0,,,,,,,,,,,,,0.280,0.032,-0.047,0,,,,,4434.00,69.95,-76.77,0,0.71,0.04,-0.05,0,0.67,0.03,-0.04,0,,,,,,,,
Kepler-1537 b,Transit,1.44445380,0.00000233,-0.00000233,0,,,,,,,,,,,,,0.105,0.005,-0.008,0,,,,,5079.00,106.90,-78.80,0,0.81,0.04,-0.05,0,0.77,0.04,-0.04,0,,,,,,,,
Kepler-1538 b,Transit,175.13881900,0.00280700,-0.00280700,0,,,,,,,,,,,,,0.252,0.062,-0.028,0,,,,,5837.00,68.83,-71.61,0,1.03,0.05,-0.06,0,1.03,0.26,-0.09,0,,,,,,,,
Kepler-1539 b,Transit,133.30367410,0.00088430,-0.00088430,0,,,,,,,,,,,,,0.241,0.017,-0.013,0,,,,,5176.00,55.53,-57.95,0,0.84,0.04,-0.04,0,0.80,0.05,-0.04,0,,,,,,,,
Kepler-154 b,Transit,33.04053200,0.00021500,-0.00021500,0,0.198000,,,0,,,,,,,,,0.202,0.039,-0.039,0,,,,,5690.00,108.00,-108.00,0,,,,,1.00,0.19,-0.19,0,,,,,,,,
Kepler-154 c,Transit,62.30327600,0.00040600,-0.00040600,0,0.303000,,,0,,,,,,,,,0.263,0.055,-0.055,0,,,,,5690.00,108.00,-108.00,0,,,,,1.00,0.19,-0.19,0,,,,,,,,
Kepler-154 d,Transit,20.54981883,0.00002572,-0.00002572,0,,,,,,,,,,,,,0.343,0.029,-0.021,0,,,,,5690.00,108.00,-108.00,0,,,,,1.00,0.19,-0.19,0,,,,,,,,
Kepler-154 e,Transit,3.93276465,0.00001225,-0.00001225,0,,,,,,,,,,,,,0.134,0.012,-0.011,0,,,,,5690.00,108.00,-108.00,0,,,,,1.00,0.19,-0.19,0,,,,,,,,
Kepler-154 f,Transit,9.91935684,0.00007788,-0.00007788,0,,,,,,,,,,,,,0.134,0.030,-0.019,0,,,,,5690.00,108.00,-108.00,0,,,,,1.00,0.19,-0.19,0,,,,,,,,
Kepler-1540 b,Transit,125.41311770,0.00041890,-0.00041890,0,,,,,,,,,,,,,0.222,0.017,-0.012,0,,,,,4540.00,69.37,-88.20,0,0.74,0.03,-0.04,0,0.69,0.03,-0.03,0,,,,,,,,
Kepler-1541 b,Transit,8.40691199,0.00002698,-0.00002698,0,,,,,,,,,,,,,0.103,0.009,-0.007,0,,,,,5282.00,75.06,-78.58,0,0.86,0.04,-0.04,0,0.81,0.06,-0.04,0,,,,,,,,
Kepler-1542 b,Transit,3.95116882,0.00001633,-0.00001633,0,,,,,,,,,,,,,0.068,0.010,-0.007,0,,,,,5564.00,63.25,-63.29,0,0.94,0.03,-0.03,0,0.99,0.13,-0.09,0,,,,,,,,
Kepler-1542 c,Transit,2.89223021,0.00001472,-0.00001472,0,,,,,,,,,,,,,0.058,0.008,-0.005,0,,,,,5564.00,63.25,-63.29,0,0.94,0.03,-0.03,0,0.99,0.13,-0.09,0,,,,,,,,
Kepler-1542 d,Transit,5.99273738,0.00002260,-0.00002260,0,,,,,,,,,,,,,0.078,0.011,-0.008,0,,,,,5564.00,63.25,-63.29,0,0.94,0.03,-0.03,0,0.99,0.13,-0.09,0,,,,,,,,
Kepler-1542 e,Transit,5.10115756,0.00002409,-0.00002409,0,,,,,,,,,,,,,0.068,0.009,-0.007,0,,,,,5564.00,63.25,-63.29,0,0.94,0.03,-0.03,0,0.99,0.13,-0.09,0,,,,,,,,
Kepler-1543 b,Transit,6.96710269,0.00003285,-0.00003285,0,,,,,,,,,,,,,0.242,0.108,-0.045,0,,,,,6561.00,148.25,-171.68,0,1.39,0.23,-0.14,0,1.65,0.74,-0.30,0,,,,,,,,
Kepler-1544 b,Transit,168.81117400,0.00127100,-0.00127100,0,,,,,,,,,,,,,0.159,0.008,-0.006,0,,,,,4886.00,73.93,-56.64,0,0.81,0.02,-0.03,0,0.74,0.02,-0.02,0,,,,,,,,
Kepler-1545 b,Transit,163.69234900,0.00138300,-0.00138300,0,,,,,,,,,,,,,0.241,0.020,-0.016,0,,,,,5201.00,136.42,-84.36,0,0.84,0.04,-0.05,0,0.80,0.05,-0.05,0,,,,,,,,
Kepler-1546 b,Transit,19.59749710,0.00014070,-0.00014070,0,,,,,,,,,,,,,0.279,0.052,-0.030,0,,,,,5623.00,325.49,-260.22,0,0.95,0.11,-0.07,0,0.93,0.17,-0.09,0,,,,,,,,
Kepler-1547 b,Transit,0.69297968,0.00000149,-0.00000149,0,,,,,,,,,,,,,0.080,0.025,-0.011,0,,,,,6078.00,94.46,-139.23,0,1.12,0.10,-0.08,0,1.18,0.36,-0.14,0,,,,,,,,
Kepler-1548 b,Transit,124.82867900,0.00152400,-0.00152400,0,,,,,,,,,,,,,0.236,0.048,-0.019,0,,,,,5706.00,63.43,-77.25,0,0.99,0.04,-0.05,0,0.97,0.19,-0.07,0,,,,,,,,
Kepler-1549 b,Transit,214.88654500,0.00311100,-0.00311100,0,,,,,,,,,,,,,0.229,0.020,-0.018,0,,,,,5324.00,103.58,-124.08,0,0.88,0.04,-0.05,0,0.84,0.07,-0.05,0,,,,,,,,
Kepler-155 b,Transit,5.93119400,0.00000800,-0.00000800,0,0.056000,,,0,,,,,,,,,0.186,0.019,-0.019,0,,,,,4508.00,100.00,-100.00,0,,,,,0.62,0.03,-0.03,0,,,,,,,,
Kepler-155 c,Transit,52.66179300,0.00023600,-0.00023600,0,0.242000,,,0,,,,,,,,,0.200,0.013,-0.013,0,,,,,4508.00,100.00,-100.00,0,,,,,0.62,0.03,-0.03,0,,,,,,,,
Kepler-1550 b,Transit,225.58280900,0.00384600,-0.00384600,0,,,,,,,,,,,,,0.269,0.063,-0.034,0,,,,,5991.00,161.09,-159.37,0,1.07,0.10,-0.08,0,1.11,0.26,-0.14,0,,,,,,,,
Kepler-1551 b,Transit,24.49736980,0.00020940,-0.00020940,0,,,,,,,,,,,,,0.237,0.081,-0.037,0,,,,,6136.00,242.35,-164.67,0,1.14,0.17,-0.09,0,1.22,0.42,-0.18,0,,,,,,,,
Kepler-1552 b,Transit,184.77185300,0.00154600,-0.00154600,0,,,,,,,,,,,,,0.220,0.010,-0.009,0,,,,,5202.00,85.40,-75.40,0,0.85,0.03,-0.04,0,0.78,0.02,-0.02,0,,,,,,,,
Kepler-1553 b,Transit,4.24261881,0.00002781,-0.00002781,0,,,,,,,,,,,,,0.103,0.009,-0.008,0,,,,,5288.00,98.79,-66.74,0,0.85,0.04,-0.05,0,0.81,0.06,-0.05,0,,,,,,,,
Kepler-1554 b,Transit,198.08877400,0.00245600,-0.00245600,0,,,,,,,,,,,,,0.259,0.021,-0.024,0,,,,,5297.00,102.50,-97.44,0,0.84,0.05,-0.06,0,0.81,0.06,-0.06,0,,,,,,,,
Kepler-1555 b,Transit,8.10501635,0.00008122,-0.00008122,0,,,,,,,,,,,,,0.144,0.041,-0.015,0,,,,,5866.00,71.46,-82.62,0,1.04,0.06,-0.06,0,1.06,0.30,-0.10,0,,,,,,,,
Kepler-1556 b,Transit,8.82713457,0.00004025,-0.00004025,0,,,,,,,,,,,,,0.175,0.036,-0.013,0,,,,,5608.00,69.12,-91.90,0,0.97,0.05,-0.05,0,0.95,0.19,-0.07,0,,,,,,,,
Kepler-1557 b,Transit,3.74032496,0.00002165,-0.00002165,0,,,,,,,,,,,,,0.136,0.045,-0.019,0,,,,,6099.00,112.00,-191.52,0,1.11,0.14,-0.10,0,1.17,0.38,-0.15,0,,,,,,,,
Kepler-1558 b,Transit,3.50470358,0.00001612,-0.00001612,0,,,,,,,,,,,,,0.061,0.005,-0.004,0,,,,,5101.00,59.21,-59.69,0,0.83,0.04,-0.04,0,0.79,0.04,-0.04,0,,,,,,,,
Kepler-1559 b,Transit,0.97191543,0.00000379,-0.00000379,0,,,,,,,,,,,,,0.064,0.006,-0.004,0,,,,,5316.00,98.57,-97.87,0,0.86,0.04,-0.05,0,0.82,0.06,-0.05,0,,,,,,,,
Kepler-156 b,Transit,4.97345600,0.00000800,-0.00000800,0,0.054000,,,0,,,,,,,,,0.205,0.015,-0.015,0,,,,,5094.00,100.00,-100.00,0,,,,,0.81,0.05,-0.05,0,,,,,,,,
Kepler-156 c,Transit,15.90680100,0.00004500,-0.00004500,0,0.117000,,,0,,,,,,,,,0.227,0.017,-0.017,0,,,,,5094.00,100.00,-100.00,0,,,,,0.81,0.05,-0.05,0,,,,,,,,
Kepler-1560 b,Transit,3.03195744,0.00001306,-0.00001306,0,,,,,,,,,,,,,0.079,0.016,-0.008,0,,,,,5815.00,103.32,-136.29,0,1.02,0.06,-0.06,0,1.02,0.20,-0.10,0,,,,,,,,
Kepler-1561 b,Transit,1.00520701,0.00000510,-0.00000510,0,,,,,,,,,,,,,0.097,0.023,-0.016,0,,,,,5957.00,196.63,-233.87,0,1.07,0.12,-0.09,0,1.11,0.27,-0.15,0,,,,,,,,
Kepler-1562 b,Transit,64.27377520,0.00071410,-0.00071410,0,,,,,,,,,,,,,0.317,0.089,-0.037,0,,,,,5760.00,63.34,-73.97,0,1.02,0.06,-0.05,0,1.05,0.29,-0.11,0,,,,,,,,
Kepler-1563 b,Transit,3.43276598,0.00002976,-0.00002976,0,,,,,,,,,,,,,0.067,0.011,-0.007,0,,,,,5765.00,100.22,-106.69,0,1.00,0.05,-0.05,0,0.99,0.15,-0.08,0,,,,,,,,
Kepler-1564 b,Transit,18.05403810,0.00019190,-0.00019190,0,,,,,,,,,,,,,0.131,0.017,-0.012,0,,,,,5528.00,77.11,-90.36,0,0.93,0.04,-0.05,0,0.90,0.11,-0.05,0,,,,,,,,
Kepler-1565 b,Transit,1.53818844,0.00000686,-0.00000686,0,,,,,,,,,,,,,0.106,0.007,-0.011,0,,,,,4940.00,81.88,-52.60,0,0.76,0.04,-0.06,0,0.73,0.04,-0.06,0,,,,,,,,
Kepler-1566 b,Transit,0.53991524,0.00000135,-0.00000135,0,,,,,,,,,,,,,0.070,0.007,-0.004,0,,,,,5254.00,97.81,-89.64,0,0.84,0.04,-0.05,0,0.81,0.06,-0.05,0,,,,,,,,
Kepler-1567 b,Transit,153.97957800,0.00178500,-0.00178500,0,,,,,,,,,,,,,0.244,0.036,-0.021,0,,,,,5655.00,149.03,-167.77,0,0.95,0.06,-0.06,0,0.93,0.13,-0.07,0,,,,,,,,
Kepler-1568 b,Transit,20.92539200,0.00025210,-0.00025210,0,,,,,,,,,,,,,0.116,0.019,-0.013,0,,,,,5956.00,69.05,-55.35,0,1.09,0.04,-0.04,0,1.19,0.18,-0.13,0,,,,,,,,
Kepler-1569 b,Transit,5.79180156,0.00003622,-0.00003622,0,,,,,,,,,,,,,0.150,0.065,-0.028,0,,,,,6319.00,179.66,-219.91,0,1.25,0.21,-0.13,0,1.40,0.61,-0.25,0,,,,,,,,
Kepler-157 b,Transit,1.73234200,0.00000600,-0.00000600,0,0.028000,,,0,,,,,,,,,0.118,0.023,-0.023,0,,,,,5774.00,125.00,-125.00,0,,,,,1.04,0.20,-0.20,0,,,,,,,,
Kepler-157 c,Transit,13.54050000,0.00004900,-0.00004900,0,0.110000,,,0,,,,,,,,,0.200,0.038,-0.038,0,,,,,5774.00,125.00,-125.00,0,,,,,1.04,0.20,-0.20,0,,,,,,,,
Kepler-157 d,Transit,7.02573474,0.00002388,-0.00002388,0,,,,,,,,,,,,,0.130,0.014,-0.009,0,,,,,5774.00,125.00,-125.00,0,,,,,1.04,0.20,-0.20,0,,,,,,,,
